playerid,yearid,stint,teamid,lgid,g,ab,r,h,b,v11,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
cunnijo01,1960,1,SLN,NL,139,492,68,138,28,3,6,39,1,7,59,59,4,6,3,3,8
curryto01,1960,1,PHI,NL,95,245,26,64,14,2,6,34,0,2,16,53,2,1,1,1,1
daleype01,1960,1,KC1,AL,73,228,19,60,10,2,5,25,0,0,16,41,1,0,1,0,8
davenji01,1960,1,SFN,NL,112,363,43,91,15,3,6,38,0,2,26,58,1,4,9,2,8
davisto02,1960,1,LAN,NL,110,352,43,97,18,1,11,44,6,2,13,35,2,2,3,4,6
delgrbo01,1960,1,PHI,NL,100,300,48,71,16,4,10,26,1,5,54,64,0,1,8,0,4
dobbeda01,1960,1,WS1,AL,110,248,32,54,8,2,10,30,4,3,35,41,7,1,3,1,5
fernach01,1960,1,DET,AL,133,435,44,105,13,3,4,35,13,4,39,50,4,1,19,3,16
floodcu01,1960,1,SLN,NL,140,396,37,94,20,1,8,38,0,3,35,54,7,4,4,4,12
foxne01,1960,1,CHA,AL,150,605,85,175,24,10,2,59,2,4,50,13,2,10,14,5,11
francti01,1960,1,CLE,AL,147,544,84,159,36,2,17,79,4,1,67,67,7,5,3,5,11
freesge02,1960,1,CHA,AL,127,455,60,124,32,6,17,79,10,6,29,65,2,1,8,8,15
gardnbi02,1960,1,WS1,AL,145,592,71,152,26,5,9,56,0,4,43,76,0,6,7,1,13
geigega01,1960,1,BOS,AL,77,245,32,74,13,3,9,33,2,2,23,38,0,3,2,0,7
gentiji01,1960,1,BAL,AL,138,384,67,112,17,0,21,98,0,0,68,72,5,7,0,5,8
gilliji01,1960,1,LAN,NL,151,557,96,138,20,2,5,40,12,9,96,28,1,3,9,4,6
gonzato01,1960,2,PHI,NL,78,241,27,72,17,5,6,33,2,2,11,47,0,3,0,0,4
greenle01,1960,1,WS1,AL,127,330,62,97,16,7,5,33,21,8,43,25,4,6,6,2,5
